GPU,Avg_fps,Price
GeForce GTX 1050 Ti,19.8,3096.00
Radeon RX 6400,23.7,3979.00
GeForce GTX 1650,26.6,3567.00
Radeon RX 570 4GB,28.3,5631.00
Radeon RX 6500 XT,30.4,3999.00
Radeon RX 5500 XT 4GB,33.5,5999.00
Radeon RX 580 8GB,35.3,5777.00
GeForce GTX 1660,39.9,6578.00
GeForce GTX 1660 Ti,43.9,4899.00
GeForce GTX 1660 Super,44.4,4899.00
GeForce RTX 3050,51.4,5399.00
GeForce RTX 2060,55.2,5799.00
GeForce RTX 2060 Super,65.1,7768.00
Radeon RX 6600,66.7,6199.00
GeForce RTX 3060,70.2,6999.00
Radeon RX 6600 XT,78.1,7199.00
Radeon RX 6650 XT,79.9,7499.00
GeForce RTX 3060 Ti,91.5,9299.00
Radeon RX 6700 XT,95.8,13396.00
GeForce RTX 3070,99.8,10499.00
Radeon RX 6750 XT,101.2,9999.00
GeForce RTX 3070 Ti,104.1,9499.00
Radeon RX 6800,110.7,14999
GeForce RTX 3080,116.3,14799.00
GeForce RTX 3080 Ti,123.4,22999.00
Radeon RX 6800 XT,123.5,13499.00
GeForce RTX 3080 12GB,124.5,14799.00
GeForce RTX 3090,126.6,36189
Radeon RX 6900 XT,129.7,23999
GeForce RTX 3090 Ti,132.4,59999
